Letter,Frequency,Percentage,Percentage of word with Letter,Percentage of word with Letter
া,26631,13.6366,19665,0.6019
ি,14909,7.6343,12474,0.3818
র,10791,5.5256,9699,0.2968
ন,10618,5.4370,9364,0.2866
ক,9201,4.7115,8211,0.2513
ব,7964,4.0780,7213,0.2208
ু,7420,3.7995,6514,0.1994
ত,7298,3.7370,6731,0.2060
ল,7269,3.7222,6679,0.2044
ম,6908,3.5373,6353,0.1944
ে,5881,3.0114,5310,0.1625
স,5767,2.9530,5287,0.1618
ো,5660,2.8983,5212,0.1595
প,5328,2.7283,4983,0.1525
ী,4353,2.2290,4127,0.1263
দ,4252,2.1773,3972,0.1216
শ,3742,1.9161,3526,0.1079
গ,3457,1.7702,3231,0.0989
হ,3448,1.7656,3306,0.1012
জ,3397,1.7395,3213,0.0983
য়,3387,1.7343,3318,0.1015
ট,2939,1.5049,2595,0.0794
চ,2647,1.3554,2480,0.0759
ভ,2248,1.1511,2150,0.0658
অ,2231,1.1424,2227,0.0682
খ,2089,1.0697,1940,0.0594
ধ,2018,1.0333,1933,0.0592
ড়,1948,0.9975,1741,0.0533
ঁ,1900,0.9729,1763,0.0540
ণ,1598,0.8183,1556,0.0476
আ,1446,0.7404,1411,0.0432
ং,1205,0.6170,1179,0.0361
ই,1172,0.6001,1134,0.0347
ফ,1039,0.5320,979,0.0300
ষ,1032,0.5284,1015,0.0311
ূ,997,0.5105,984,0.0301
উ,940,0.4813,923,0.0282
ৃ,884,0.4527,871,0.0267
ড,842,0.4312,794,0.0243
ছ,828,0.4240,779,0.0238
ঘ,765,0.3917,717,0.0219
থ,752,0.3851,712,0.0218
য,738,0.3779,714,0.0219
ঠ,622,0.3185,577,0.0177
ও,533,0.2729,524,0.0160
ঝ,508,0.2601,440,0.0135
এ,482,0.2468,470,0.0144
-,474,0.2427,443,0.0136
ৌ,453,0.2320,451,0.0138
ৎ,446,0.2284,446,0.0136
ৈ,372,0.1905,367,0.0112
়,368,0.1884,337,0.0103
ঙ,227,0.1162,222,0.0068
ঢ,212,0.1086,183,0.0056
্,205,0.1050,205,0.0063
ঃ,172,0.0881,170,0.0052
ঢ়,58,0.0297,58,0.0018
ঋ,56,0.0287,56,0.0017
ঈ,23,0.0118,23,0.0007
ঐ,22,0.0113,22,0.0007
ঊ,20,0.0102,20,0.0006
ঔ,16,0.0082,16,0.0005
‍,15,0.0077,15,0.0005
 ,14,0.0072,12,0.0004
ঞ,11,0.0056,11,0.0003
(,6,0.0031,6,0.0002
),6,0.0031,6,0.0002
 ,4,0.0020,4,0.0001
০,3,0.0015,1,0.0000
.,2,0.0010,2,0.0001
+,2,0.0010,1,0.0000
৪,2,0.0010,1,0.0000
",",2,0.0010,2,0.0001
–,1,0.0005,1,0.0000
0,1,0.0005,1,0.0000
1,1,0.0005,1,0.0000
2,1,0.0005,1,0.0000
3,1,0.0005,1,0.0000
4,1,0.0005,1,0.0000
5,1,0.0005,1,0.0000
6,1,0.0005,1,0.0000
7,1,0.0005,1,0.0000
8,1,0.0005,1,0.0000
9,1,0.0005,1,0.0000
৯,1,0.0005,1,0.0000
১,1,0.0005,1,0.0000
?,1,0.0005,1,0.0000
/,1,0.0005,1,0.0000
